close;high;low;open;time;volume
1.11284;1.11304;1.11284;1.11304;1724197200000;191.73
1.11275;1.11285;1.1127;1.11283;1724197800000;271.75
1.11274;1.11281;1.11258;1.11274;1724198400000;754.23
1.11273;1.11284;1.11258;1.11274;1724199000000;767.07
1.11317;1.11319;1.11274;1.11274;1724199600000;437.31
1.11282;1.11325;1.11282;1.11318;1724200200000;1039.32
1.11259;1.11288;1.11254;1.11281;1724200800000;737.04
1.11278;1.1128;1.11253;1.11259;1724201400000;744.28
1.11266;1.1128;1.11261;1.11277;1724202000000;775.62
1.1127;1.11279;1.11257;1.11266;1724202600000;729.19
1.11237;1.11269;1.11235;1.11269;1724203200000;1055.82
1.11194;1.11239;1.1119;1.11238;1724203800000;1820.04
1.11213;1.11221;1.1119;1.11195;1724204400000;1297.64
1.11216;1.1123;1.11213;1.11213;1724205000000;1015.36
1.11218;1.11237;1.11213;1.11215;1724205600000;714.18
1.11239;1.11252;1.11215;1.11217;1724206200000;763.99
1.11219;1.11249;1.11218;1.11239;1724206800000;547.62
1.11216;1.11229;1.11212;1.11219;1724207400000;688.94
1.1122;1.1122;1.11202;1.11216;1724208000000;404.61
1.11217;1.11232;1.11214;1.11223;1724208600000;303.11
1.11185;1.11224;1.11183;1.11218;1724209200000;699.84
1.1118;1.11189;1.11173;1.11186;1724209800000;764.75
1.112;1.11201;1.11179;1.11181;1724210400000;414.18
1.11191;1.11207;1.11186;1.11201;1724211000000;612.21
1.11189;1.11207;1.11188;1.11191;1724211600000;749.42
1.1121;1.11212;1.11171;1.1119;1724212200000;1038.83
1.11192;1.11213;1.11191;1.1121;1724212800000;1140.84
1.11195;1.11199;1.11186;1.11192;1724213400000;605.81
1.11191;1.11199;1.11165;1.11194;1724214000000;498.37
1.11191;1.11197;1.11181;1.11192;1724214600000;679.47
1.11181;1.11194;1.11177;1.11192;1724215200000;454.04
1.1119;1.11193;1.11179;1.11182;1724215800000;596.87
1.1119;1.11199;1.11189;1.1119;1724216400000;417.26
1.11199;1.11199;1.11188;1.11189;1724217000000;458.37
1.11194;1.11209;1.11193;1.112;1724217600000;790.11
1.11178;1.11195;1.11172;1.11194;1724218200000;1128.41
1.11176;1.11193;1.11174;1.11177;1724218800000;915.14
1.11177;1.11196;1.11161;1.11178;1724219400000;1340.82
1.1117;1.11198;1.11166;1.11179;1724220000000;1427.41
1.11156;1.11171;1.11146;1.11169;1724220600000;2522.01
1.11185;1.11188;1.11154;1.11155;1724221200000;1012.44
1.11164;1.11185;1.11158;1.11185;1724221800000;3093.92
1.11167;1.11197;1.11162;1.11167;1724222400000;2273.33
1.11178;1.11181;1.11131;1.11167;1724223000000;2502.74
1.1124;1.11257;1.11179;1.11179;1724223600000;1384.06
1.11242;1.11253;1.11215;1.11237;1724224200000;925.37
1.11249;1.11287;1.11244;1.11244;1724224800000;1054.43
1.11206;1.1127;1.11198;1.1125;1724225400000;1345.44
1.11118;1.11209;1.11113;1.11209;1724226000000;3182.8
1.11142;1.1115;1.11103;1.11119;1724226600000;2342.16
1.11127;1.11159;1.11126;1.11143;1724227200000;2339.67
1.11137;1.11145;1.11109;1.11128;1724227800000;1433.12
